setting,class_name,N,mean|e|,med|e|,mean(gt-p),med(gt-p),MSE,RMSE,meanRel%,medRel%
roi20,car,2641.0,0.3753106067777357,0.03515625,0.30910403256342295,0.02734375,2.7394035943120505,1.655114374994082,2.152327824149654,0.26246719160104987
roi20,tree,184.0,0.626082710597826,0.025390625,-0.6046832540760869,-0.01953125,14.591942579849906,3.8199401277834064,4.317915280608451,0.19104882278311752
roi20,person,178.0,0.15339712078651685,0.0546875,0.007241924157303371,0.02734375,0.15077466643258428,0.3882971367813369,1.7084647628250909,0.6280879419456326
roi20,bicycle,98.0,0.05325255102040816,0.02734375,0.00031887755102040814,0.0,0.009066834741709183,0.09521992828031947,0.6686411154563876,0.3337147337218611
roi20,bus,37.0,0.048036317567567564,0.0390625,-0.029455236486486486,-0.01953125,0.004406490841427365,0.06638140433455265,0.6550491891656871,0.2985074626865672
roi20,truck,33.0,0.540719696969697,0.0234375,0.4640151515151515,-0.0078125,2.589096531723485,1.609066975524476,2.220837211739234,0.2620468772747125
roi20,pedestrian crossing sign,22.0,0.014026988636363636,0.013671875,-0.011896306818181818,-0.013671875,0.00029615922407670456,0.017209277267703736,0.10485345048538162,0.07856308151676455
roi20,motocycle,18.0,0.8899739583333334,0.0859375,-0.7727864583333334,-0.015625,3.9965557522243924,1.9991387526193354,15.184515517661213,1.1306772323721477
roi20,electric pole,14.0,0.05133928571428571,0.03515625,-0.016183035714285716,-0.017578125,0.006450108119419643,0.08031256514032933,0.35908849208431703,0.27134132059119764
roi30,car,2642.0,0.2886499929031037,0.02734375,0.24948103945874336,0.0234375,2.099725791128362,1.4490430604810756,1.6706457454856072,0.193180455080598
roi30,tree,193.0,0.6163576748704663,0.0234375,-0.5964418717616581,-0.015625,14.475876328858687,3.8047176411474593,3.7899458921487756,0.16882386043894204
roi30,person,180.0,0.13869357638888888,0.0546875,0.003363715277777778,0.0234375,0.12808761596679688,0.35789330248943874,1.5189450120533927,0.5572999438844791
roi30,bicycle,98.0,0.045998086734693876,0.01953125,0.00470344387755102,0.00390625,0.007332938058035714,0.08563257591615304,0.5992464260117433,0.2768879302643166
roi30,bus,37.0,0.02565456081081081,0.015625,-0.005173141891891892,0.0,0.001659084010768581,0.04073185498806286,0.4322908295589541,0.12547051442910914
roi30,truck,33.0,0.4836647727272727,0.01171875,0.43016098484848486,-0.00390625,2.3308096220999053,1.526698929750036,1.9337832376664246,0.16464293064416546
roi30,pedestrian crossing sign,22.0,0.01260653409090909,0.01171875,-0.011541193181818182,-0.01171875,0.00025454434481534093,0.015954445926303455,0.0949689183568291,0.0674416961036502
roi30,motocycle,18.0,0.8700086805555556,0.06640625,-0.7554253472222222,-0.005859375,4.083930969238281,2.0208738132892616,15.056028662727929,0.825445740699978
roi30,electric pole,14.0,0.041294642857142856,0.025390625,-0.015066964285714286,-0.013671875,0.004793439592633929,0.06923467045226639,0.28354620036416434,0.2269242741124325
