setting,N,mean|e|,meanRel%,RMSE (m)
quantile_band_10%,202,0.9353921720297029,8.98045097528798,1.7548298962054785
quantile_band_20%,202,0.893177599009901,8.279048113720378,1.6415108037144697
quantile_band_30%,202,0.7438118811881188,6.991449473969297,1.3182405205179408
single_pixel,69,1.3024796195652173,12.441685270752515,3.00079478917177
