N,MAE,MedAE,Bias_mean(gt-p),Bias_median(gt-p),MSE,RMSE,MeanRel%,MedRel%,setting
818,1.1692772004889975,0.638671875,-1.05020820599022,-0.599609375,4.358079756384665,2.0876014361905066,5.805774693568611,3.5556318302583376,pixel_center
3208,0.48727546368453867,0.05078125,0.305880805798005,0.0234375,3.2848190916446676,1.8124069884120033,2.8765407595137797,0.4380047224337699,roi10
3225,0.36452277131782945,0.03515625,0.21898498062015503,0.0234375,3.1333478492914244,1.7701265065783927,2.2408085253994012,0.28142589118198874,roi20
3237,0.2917728606734631,0.02734375,0.16837301127587273,0.01953125,2.630724633811689,1.6219508728107919,1.8023846015295564,0.2031144211238998,roi30
