N_intersection,MAE,MedAE,Bias_mean(gt-p),Bias_median(gt-p),MSE,RMSE,MeanRel%,MedRel%,setting,ref_coverage_pct,abl_coverage_pct,ref_valid_count,abl_valid_count
202,0.9353921720297029,0.5703125,0.6934367264851485,0.533203125,3.07942796461653,1.7548298962054785,8.98045097528798,8.118858634379357,quantile_band_10%,100.0,100.0,202,202
202,0.893177599009901,0.48046875,0.6534653465346535,0.458984375,2.6945577187113243,1.6415108037144697,8.279048113720378,6.882326055886349,quantile_band_20%,100.0,100.0,202,202
202,0.7438118811881188,0.40625,0.5358137376237624,0.3828125,1.7377580699354116,1.3182405205179408,6.991449473969297,5.697193313412015,quantile_band_30%,100.0,100.0,202,202
69,1.3024796195652173,0.44140625,0.5704823369565217,0.39453125,9.00476936672045,3.00079478917177,12.441685270752515,6.4842355740630575,single_pixel_100%,100.0,98.62068965517241,202,143
